topo,density,level,length,name,a,b,c,d,e,f,g,h,i,k,l,m,heuristic1,heuristic2,heuristic3
cogent,rural,normal,3,./input_25/cogent_rural_normal_s3.json,0.411202535,368,1364231.199,0.44358881,323,1720347.506,0.422799118,390,1363642.221,0.432676023,407,1368980.842,7.300967533,2.820163305,4.962948455
cogent,uniform,easy,1,./input_25/cogent_uniform_easy_s1.json,0.39236129,432,778165.2296,0.430859587,342,1129460.708,0.38725554,405,812437.743,0.390887122,423,790561.8628,8.935230447,-1.301287902,-0.377133939
cogent,uniform,easy,2,./input_25/cogent_uniform_easy_s2.json,0.408888989,396,980640.7841,0.447798259,301,1398161.611,0.405352385,381,1000441.625,0.408891429,392,990426.2303,8.689017703,-0.864930114,0.000596735
cogent,uniform,easy,3,./input_25/cogent_uniform_easy_s3.json,0.405011444,342,912699.1832,0.436856289,255,1222638.202,0.405334718,340,918181.1085,0.408917395,344,924216.3277,7.289547112,0.079818485,0.955193163
cogent,uniform,hard,1,./input_25/cogent_uniform_hard_s1.json,0.457544346,721,1722738.25,0.461314367,737,1647224.397,0.462628398,745,1599293.57,0.463654621,752,1555152.564,0.817234682,1.111160491,1.317850556
cogent,uniform,hard,2,./input_25/cogent_uniform_hard_s2.json,0.462884415,855,1582927.044,0.487241873,916,1478018.171,0.489957757,919,1511012.468,0.49624559,934,1492712.702,4.999048594,5.848834206,6.722714654
cogent,uniform,hard,3,./input_25/cogent_uniform_hard_s3.json,0.456402321,748,1535521.159,0.49406159,846,1256833.043,0.489527271,830,1337323.274,0.503845777,857,1346015.44,7.622383477,7.257839953,9.416265486
cogent,uniform,normal,1,./input_25/cogent_uniform_normal_s1.json,0.393751473,384,809802.1548,0.438094319,382,988226.9572,0.396815222,408,775593.581,0.404602648,456,713711.2382,10.12175782,0.778092073,2.681933757
cogent,uniform,normal,2,./input_25/cogent_uniform_normal_s2.json,0.409555947,328,1290974.567,0.450120344,364,1409446.945,0.413990254,375,1188802.236,0.420911742,407,1139893.666,9.011900382,1.082710929,2.697904066
cogent,uniform,normal,3,./input_25/cogent_uniform_normal_s3.json,0.411333839,357,1819115.541,0.453167705,331,2262597.692,0.416756616,376,1783803.677,0.422843534,391,1770413.338,9.231431441,1.318339627,2.721974933
cogent,urban,easy,1,./input_25/cogent_urban_easy_s1.json,0.382076707,300,987682.0999,0.442696567,336,1167576.586,0.386635735,333,940640.3126,0.388328494,344,925678.8863,13.69332055,1.193223224,1.609922294
cogent,urban,easy,2,./input_25/cogent_urban_easy_s2.json,0.391730001,310,1158897.47,0.437872836,278,1465935.812,0.398106821,343,1108188.775,0.395951621,334,1119968.023,10.53795331,1.627861023,1.066195913
cogent,urban,easy,3,./input_25/cogent_urban_easy_s3.json,0.391346729,237,1282492.112,0.440138164,259,1460051.432,0.395904908,248,1278148.131,0.402113321,267,1262829.775,11.08548156,1.164741816,2.677501947
cogent,urban,hard,1,./input_25/cogent_urban_hard_s1.json,0.487523341,851,1147990.607,0.487369491,853,1129486.061,0.487738361,854,1127506.697,0.488023102,864,1052179.274,-0.031567425,0.044104555,0.102405193
cogent,urban,hard,2,./input_25/cogent_urban_hard_s2.json,0.463024466,805,1444169.671,0.483911561,841,1512920.553,0.484930766,845,1490497.192,0.492086867,863,1448943.299,4.316304193,4.731132285,5.905949325
cogent,urban,hard,3,./input_25/cogent_urban_hard_s3.json,0.457472563,807,1625136.896,0.495457115,894,1533847.114,0.493409988,885,1587548.45,0.503680727,911,1534850.355,7.666567065,7.855645979,9.174098099
cogent,urban,normal,1,./input_25/cogent_urban_normal_s1.json,0.397880562,356,757208.2114,0.453244756,374,918388.7808,0.401019416,380,725674.8122,0.410585336,436,659913.8235,12.21507657,0.788893527,3.094307781
cogent,urban,normal,2,./input_25/cogent_urban_normal_s2.json,0.408331899,315,1262202.335,0.456169699,338,1445932.089,0.41025141,326,1243585.603,0.413389616,339,1226002.612,10.48684297,0.470085978,1.223474612
cogent,urban,normal,3,./input_25/cogent_urban_normal_s3.json,0.413148297,332,1620837.632,0.44484221,305,1923795.424,0.419109627,373,1520957.383,0.424638436,387,1510112.549,7.124753966,1.4429032,2.705864101
